"feature","group","is_numeric","missing_share","unique_values","standard_deviation","keep_technical","remove_reason","priority_score"
"JRC_dist_max_extent_m","Hydrology",TRUE,0,15,1126.09293276926,TRUE,"behalten",1
"LST_growing_amplitude_C","Landsat_LST",TRUE,0.00323624595469256,308,4.49222341318593,TRUE,"behalten",3.99676375404531
"LST_growing_max_C","Landsat_LST",TRUE,0.00323624595469256,308,4.70003615692438,TRUE,"behalten",3.99676375404531
"LST_growing_mean_C","Landsat_LST",TRUE,0.00323624595469256,308,2.98883670724523,TRUE,"behalten",3.99676375404531
"LST_growing_min_C","Landsat_LST",TRUE,0.00323624595469256,308,2.66989027843224,TRUE,"behalten",3.99676375404531
"LST_spring_amplitude_C","Landsat_LST",TRUE,0.00323624595469256,308,3.90368262789156,TRUE,"behalten",3.99676375404531
"LST_spring_max_C","Landsat_LST",TRUE,0.00323624595469256,308,4.97884447998792,TRUE,"behalten",3.99676375404531
"LST_summer_amplitude_C","Landsat_LST",TRUE,0.00323624595469256,306,4.37670195774285,TRUE,"behalten",3.99676375404531
"LST_summer_mean_C","Landsat_LST",TRUE,0.00323624595469256,308,3.70310863158716,TRUE,"behalten",3.99676375404531
"LST_summer_min_C","Landsat_LST",TRUE,0.00323624595469256,308,4.06803361531648,TRUE,"behalten",3.99676375404531
"S1_m01_ASC_VV","S1_monthly",TRUE,0,309,3.76683445579644,TRUE,"behalten",-1
"S1_m01_ASC_VV_minus_VH","S1_monthly",TRUE,0,309,2.20011948281205,TRUE,"behalten",-1
"S1_m01_DESC_VV","S1_monthly",TRUE,0,309,3.84591223762519,TRUE,"behalten",-1
"S1_m01_DESC_VV_minus_VH","S1_monthly",TRUE,0,309,2.09065805688714,TRUE,"behalten",-1
"S1_m02_ASC_VV","S1_monthly",TRUE,0,309,3.79667695576201,TRUE,"behalten",-1
"S1_m02_ASC_VV_minus_VH","S1_monthly",TRUE,0,309,2.32297652088002,TRUE,"behalten",-1
"S1_m02_DESC_VH","S1_monthly",TRUE,0,309,4.34659012234098,TRUE,"behalten",-1
"S1_m02_DESC_VV_minus_VH","S1_monthly",TRUE,0,309,2.28324708246321,TRUE,"behalten",-1
"S1_m03_ASC_VV_minus_VH","S1_monthly",TRUE,0,309,2.26872539300741,TRUE,"behalten",-1
"S1_m03_DESC_VV_minus_VH","S1_monthly",TRUE,0,309,2.1466315349271,TRUE,"behalten",-1
"S1_m04_ASC_VV_minus_VH","S1_monthly",TRUE,0,309,2.21893975532402,TRUE,"behalten",-1
"S1_m04_DESC_VV_minus_VH","S1_monthly",TRUE,0,309,2.11202636040793,TRUE,"behalten",-1
"S1_m05_ASC_VV","S1_monthly",TRUE,0,309,3.97393642205703,TRUE,"behalten",-1
"S1_m05_ASC_VV_minus_VH","S1_monthly",TRUE,0,309,2.13031895320932,TRUE,"behalten",-1
"S1_m05_DESC_VH","S1_monthly",TRUE,0,309,4.34241043301023,TRUE,"behalten",-1
"S1_m05_DESC_VV_minus_VH","S1_monthly",TRUE,0,309,1.85905307130221,TRUE,"behalten",-1
"S1_m06_ASC_VV_minus_VH","S1_monthly",TRUE,0,309,1.93474223664844,TRUE,"behalten",-1
"S1_m06_DESC_VV","S1_monthly",TRUE,0,309,3.85588985582149,TRUE,"behalten",-1
"S1_m06_DESC_VV_minus_VH","S1_monthly",TRUE,0,309,1.72661887169674,TRUE,"behalten",-1
"S1_m07_ASC_VV_minus_VH","S1_monthly",TRUE,0,309,1.87047636875187,TRUE,"behalten",-1
"S1_m07_DESC_VV_minus_VH","S1_monthly",TRUE,0,309,1.57621557616734,TRUE,"behalten",-1
"S1_m08_ASC_VH","S1_monthly",TRUE,0,309,3.94931305373917,TRUE,"behalten",-1
"S1_m08_ASC_VV_minus_VH","S1_monthly",TRUE,0,309,1.86289112787341,TRUE,"behalten",-1
"S1_m08_DESC_VH","S1_monthly",TRUE,0,309,3.93075841320389,TRUE,"behalten",-1
"S1_m08_DESC_VV_minus_VH","S1_monthly",TRUE,0,309,1.53727911497352,TRUE,"behalten",-1
"S1_m09_ASC_VV_minus_VH","S1_monthly",TRUE,0,309,1.83816423241429,TRUE,"behalten",-1
"S1_m09_DESC_VV","S1_monthly",TRUE,0,309,3.83430470604608,TRUE,"behalten",-1
"S1_m09_DESC_VV_minus_VH","S1_monthly",TRUE,0,309,1.67806875208491,TRUE,"behalten",-1
"S1_m10_ASC_VH","S1_monthly",TRUE,0,309,3.86467615459908,TRUE,"behalten",-1
"S1_m10_ASC_VV_minus_VH","S1_monthly",TRUE,0,309,2.21907177907232,TRUE,"behalten",-1
"S1_m10_DESC_VV_minus_VH","S1_monthly",TRUE,0,309,2.05123584873816,TRUE,"behalten",-1
"S1_m11_ASC_VV_minus_VH","S1_monthly",TRUE,0,309,2.3323030766169,TRUE,"behalten",-1
"S1_m11_DESC_VV_minus_VH","S1_monthly",TRUE,0,309,2.02935795064689,TRUE,"behalten",-1
"S1_m12_ASC_VV_minus_VH","S1_monthly",TRUE,0,309,2.35251781630682,TRUE,"behalten",-1
"S1_m12_DESC_VH","S1_monthly",TRUE,0,309,4.13170719304986,TRUE,"behalten",-1
"S1_m12_DESC_VV_minus_VH","S1_monthly",TRUE,0,309,2.09927091660033,TRUE,"behalten",-1
"S1_ASC_VH_annual_amplitude","S1_temporal",TRUE,0,309,2.31333832171901,TRUE,"behalten",3
"S1_ASC_VH_annual_max","S1_temporal",TRUE,0,309,3.80355799422414,TRUE,"behalten",3
"S1_ASC_VH_annual_min","S1_temporal",TRUE,0,309,4.5075056478332,TRUE,"behalten",3
"S1_ASC_VV_annual_amplitude","S1_temporal",TRUE,0,309,2.30534071807162,TRUE,"behalten",3
"S1_ASC_VV_annual_max","S1_temporal",TRUE,0,309,3.55999090136414,TRUE,"behalten",3
"S1_ASC_VV_annual_mean","S1_temporal",TRUE,0,309,3.6396042908315,TRUE,"behalten",3
"S1_ASC_VV_minus_VH_annual_amplitude","S1_temporal",TRUE,0,309,1.68940644700934,TRUE,"behalten",3
"S1_ASC_VV_minus_VH_annual_max","S1_temporal",TRUE,0,309,2.41608909085117,TRUE,"behalten",3
"S1_ASC_VV_minus_VH_annual_min","S1_temporal",TRUE,0,309,1.72201200990782,TRUE,"behalten",3
"S1_DESC_VH_annual_amplitude","S1_temporal",TRUE,0,309,2.37785403869925,TRUE,"behalten",3
"S1_DESC_VH_annual_max","S1_temporal",TRUE,0,309,3.79348198479512,TRUE,"behalten",3
"S1_DESC_VV_annual_amplitude","S1_temporal",TRUE,0,309,2.32759808160036,TRUE,"behalten",3
"S1_DESC_VV_annual_max","S1_temporal",TRUE,0,309,3.52195754756641,TRUE,"behalten",3
"S1_DESC_VV_annual_min","S1_temporal",TRUE,0,309,4.20539482191607,TRUE,"behalten",3
"S1_DESC_VV_minus_VH_annual_amplitude","S1_temporal",TRUE,0,309,1.75568487454458,TRUE,"behalten",3
"S1_DESC_VV_minus_VH_annual_max","S1_temporal",TRUE,0,309,2.33377865392183,TRUE,"behalten",3
"S1_DESC_VV_minus_VH_annual_min","S1_temporal",TRUE,0,309,1.43942566473135,TRUE,"behalten",3
"S2_m03_EVI","S2_monthly",TRUE,0,309,0.143624985316477,TRUE,"behalten",1
"S2_m03_MNDWI","S2_monthly",TRUE,0,309,0.243607899798023,TRUE,"behalten",1
"S2_m03_NBR","S2_monthly",TRUE,0,309,0.179228459498878,TRUE,"behalten",1
