"removed_feature","kept_feature","correlation"
"S2_EVI_annual_sd","S2_EVI_annual_amplitude",0.980886354484851
"S2_MNDWI_annual_sd","S2_MNDWI_annual_amplitude",0.97654772412054
"S2_NBR_annual_sd","S2_NBR_annual_amplitude",0.964783759929391
"S2_NBR2_annual_sd","S2_NBR2_annual_amplitude",0.965031460866099
"S2_NDMI_annual_max","S2_NBR_annual_max",0.917580665497985
"S2_NDMI_annual_mean","S2_NBR_annual_mean",0.970593953494048
"S2_NDMI_annual_sd","S2_NDMI_annual_amplitude",0.959329458515177
"S2_NDRE_annual_mean","S2_NBR2_annual_mean",0.919058329706623
"S2_NDRE_annual_sd","S2_NDRE_annual_amplitude",0.95807875181505
"S2_NDVI_annual_amplitude","S2_NDRE_annual_amplitude",0.92766847934402
"S2_NDVI_annual_max","S2_NDRE_annual_max",0.904047369874667
"S2_NDVI_annual_mean","S2_NBR2_annual_mean",0.907060086797011
"S2_NDVI_annual_min","S2_NDRE_annual_min",0.974292880068905
"S2_NDVI_annual_sd","S2_NDRE_annual_amplitude",0.914220230130033
"S2_NDWI_annual_max","S2_NDRE_annual_min",-0.937514356442483
"S2_NDWI_annual_mean","S2_NBR2_annual_mean",-0.928115886618862
"S2_NDWI_annual_sd","S2_NDWI_annual_amplitude",0.963749028922847
"LST_spring_mean_C","LST_spring_max_C",0.935387341225234
"LST_spring_min_C","LST_growing_min_C",0.998895604885295
"LST_summer_max_C","LST_growing_max_C",0.97953069984315
"S1_ASC_VH_annual_mean","S1_ASC_VH_annual_max",0.937277567405973
"S1_ASC_VH_annual_sd","S1_ASC_VH_annual_amplitude",0.969225293966916
"S1_ASC_VV_annual_min","S1_ASC_VV_annual_mean",0.929365779851217
"S1_ASC_VV_annual_sd","S1_ASC_VV_annual_amplitude",0.981614408141186
"S1_ASC_VV_minus_VH_annual_mean","S1_ASC_VV_minus_VH_annual_max",0.94077629229524
"S1_ASC_VV_minus_VH_annual_sd","S1_ASC_VV_minus_VH_annual_amplitude",0.968357730587609
"S1_DESC_VH_annual_mean","S1_DESC_VH_annual_max",0.934408873306462
"S1_DESC_VH_annual_min","S1_ASC_VH_annual_min",0.934270990519033
"S1_DESC_VH_annual_sd","S1_DESC_VH_annual_amplitude",0.976620529486173
"S1_DESC_VV_annual_mean","S1_DESC_VV_annual_max",0.912651864264768
"S1_DESC_VV_annual_sd","S1_DESC_VV_annual_amplitude",0.98198412924376
"S1_DESC_VV_minus_VH_annual_mean","S1_DESC_VV_minus_VH_annual_max",0.933147998259179
"S1_DESC_VV_minus_VH_annual_sd","S1_DESC_VV_minus_VH_annual_amplitude",0.968580620757257
"S2_blue_annual_max","S2_blue_annual_amplitude",0.945052920318152
"S2_blue_annual_sd","S2_blue_annual_amplitude",0.984586894423238
"S2_green_annual_amplitude","S2_blue_annual_amplitude",0.942743047773936
"S2_green_annual_mean","S2_blue_annual_mean",0.934296899761527
"S2_green_annual_sd","S2_green_annual_max",0.930703197403501
"S2_nir_annual_max","S2_EVI_annual_max",0.901801161104101
"S2_nir_annual_sd","S2_nir_annual_amplitude",0.969522493061106
"S2_nir8a_annual_amplitude","S2_nir_annual_amplitude",0.979651674460677
"S2_nir8a_annual_max","S2_EVI_annual_max",0.912955292066842
