"feature","group"
"S2_m01_EVI","S2_monthly"
"S2_m01_MNDWI","S2_monthly"
"S2_m01_NBR","S2_monthly"
"S2_m01_NBR2","S2_monthly"
"S2_m01_NDMI","S2_monthly"
"S2_m01_NDRE","S2_monthly"
"S2_m01_NDVI","S2_monthly"
"S2_m01_NDWI","S2_monthly"
"S2_m01_blue","S2_monthly"
"S2_m01_green","S2_monthly"
"S2_m01_nir","S2_monthly"
"S2_m01_nir8a","S2_monthly"
"S2_m01_re1","S2_monthly"
"S2_m01_re2","S2_monthly"
"S2_m01_re3","S2_monthly"
"S2_m01_red","S2_monthly"
"S2_m01_swir1","S2_monthly"
"S2_m01_swir2","S2_monthly"
"S2_m02_EVI","S2_monthly"
"S2_m02_MNDWI","S2_monthly"
"S2_m02_NBR","S2_monthly"
"S2_m02_NBR2","S2_monthly"
"S2_m02_NDMI","S2_monthly"
"S2_m02_NDRE","S2_monthly"
"S2_m02_NDVI","S2_monthly"
"S2_m02_NDWI","S2_monthly"
"S2_m02_blue","S2_monthly"
"S2_m02_green","S2_monthly"
"S2_m02_nir","S2_monthly"
"S2_m02_nir8a","S2_monthly"
"S2_m02_re1","S2_monthly"
"S2_m02_re2","S2_monthly"
"S2_m02_re3","S2_monthly"
"S2_m02_red","S2_monthly"
"S2_m02_swir1","S2_monthly"
"S2_m02_swir2","S2_monthly"
"S2_m03_EVI","S2_monthly"
"S2_m03_MNDWI","S2_monthly"
"S2_m03_NBR","S2_monthly"
"S2_m03_NBR2","S2_monthly"
"S2_m03_NDMI","S2_monthly"
"S2_m03_NDRE","S2_monthly"
"S2_m03_NDVI","S2_monthly"
"S2_m03_NDWI","S2_monthly"
"S2_m03_blue","S2_monthly"
"S2_m03_green","S2_monthly"
"S2_m03_nir","S2_monthly"
"S2_m03_nir8a","S2_monthly"
"S2_m03_re1","S2_monthly"
"S2_m03_re2","S2_monthly"
"S2_m03_re3","S2_monthly"
"S2_m03_red","S2_monthly"
"S2_m03_swir1","S2_monthly"
"S2_m03_swir2","S2_monthly"
"S2_m04_EVI","S2_monthly"
"S2_m04_MNDWI","S2_monthly"
"S2_m04_NBR","S2_monthly"
"S2_m04_NBR2","S2_monthly"
"S2_m04_NDMI","S2_monthly"
"S2_m04_NDRE","S2_monthly"
"S2_m04_NDVI","S2_monthly"
"S2_m04_NDWI","S2_monthly"
"S2_m04_blue","S2_monthly"
"S2_m04_green","S2_monthly"
"S2_m04_nir","S2_monthly"
"S2_m04_nir8a","S2_monthly"
"S2_m04_re1","S2_monthly"
"S2_m04_re2","S2_monthly"
"S2_m04_re3","S2_monthly"
"S2_m04_red","S2_monthly"
"S2_m04_swir1","S2_monthly"
"S2_m04_swir2","S2_monthly"
"S2_m05_EVI","S2_monthly"
"S2_m05_MNDWI","S2_monthly"
"S2_m05_NBR","S2_monthly"
"S2_m05_NBR2","S2_monthly"
"S2_m05_NDMI","S2_monthly"
"S2_m05_NDRE","S2_monthly"
"S2_m05_NDVI","S2_monthly"
"S2_m05_NDWI","S2_monthly"
"S2_m05_blue","S2_monthly"
"S2_m05_green","S2_monthly"
"S2_m05_nir","S2_monthly"
"S2_m05_nir8a","S2_monthly"
"S2_m05_re1","S2_monthly"
"S2_m05_re2","S2_monthly"
"S2_m05_re3","S2_monthly"
"S2_m05_red","S2_monthly"
"S2_m05_swir1","S2_monthly"
"S2_m05_swir2","S2_monthly"
"S2_m06_EVI","S2_monthly"
"S2_m06_MNDWI","S2_monthly"
"S2_m06_NBR","S2_monthly"
"S2_m06_NBR2","S2_monthly"
"S2_m06_NDMI","S2_monthly"
"S2_m06_NDRE","S2_monthly"
"S2_m06_NDVI","S2_monthly"
"S2_m06_NDWI","S2_monthly"
"S2_m06_blue","S2_monthly"
"S2_m06_green","S2_monthly"
"S2_m06_nir","S2_monthly"
"S2_m06_nir8a","S2_monthly"
"S2_m06_re1","S2_monthly"
"S2_m06_re2","S2_monthly"
"S2_m06_re3","S2_monthly"
"S2_m06_red","S2_monthly"
"S2_m06_swir1","S2_monthly"
"S2_m06_swir2","S2_monthly"
"S2_m07_EVI","S2_monthly"
"S2_m07_MNDWI","S2_monthly"
"S2_m07_NBR","S2_monthly"
"S2_m07_NBR2","S2_monthly"
"S2_m07_NDMI","S2_monthly"
"S2_m07_NDRE","S2_monthly"
"S2_m07_NDVI","S2_monthly"
"S2_m07_NDWI","S2_monthly"
"S2_m07_blue","S2_monthly"
"S2_m07_green","S2_monthly"
"S2_m07_nir","S2_monthly"
"S2_m07_nir8a","S2_monthly"
"S2_m07_re1","S2_monthly"
"S2_m07_re2","S2_monthly"
"S2_m07_re3","S2_monthly"
"S2_m07_red","S2_monthly"
"S2_m07_swir1","S2_monthly"
"S2_m07_swir2","S2_monthly"
"S2_m08_EVI","S2_monthly"
"S2_m08_MNDWI","S2_monthly"
"S2_m08_NBR","S2_monthly"
"S2_m08_NBR2","S2_monthly"
"S2_m08_NDMI","S2_monthly"
"S2_m08_NDRE","S2_monthly"
"S2_m08_NDVI","S2_monthly"
"S2_m08_NDWI","S2_monthly"
"S2_m08_blue","S2_monthly"
"S2_m08_green","S2_monthly"
"S2_m08_nir","S2_monthly"
"S2_m08_nir8a","S2_monthly"
"S2_m08_re1","S2_monthly"
"S2_m08_re2","S2_monthly"
"S2_m08_re3","S2_monthly"
"S2_m08_red","S2_monthly"
"S2_m08_swir1","S2_monthly"
"S2_m08_swir2","S2_monthly"
"S2_m09_EVI","S2_monthly"
"S2_m09_MNDWI","S2_monthly"
"S2_m09_NBR","S2_monthly"
"S2_m09_NBR2","S2_monthly"
"S2_m09_NDMI","S2_monthly"
"S2_m09_NDRE","S2_monthly"
"S2_m09_NDVI","S2_monthly"
"S2_m09_NDWI","S2_monthly"
"S2_m09_blue","S2_monthly"
"S2_m09_green","S2_monthly"
"S2_m09_nir","S2_monthly"
"S2_m09_nir8a","S2_monthly"
"S2_m09_re1","S2_monthly"
"S2_m09_re2","S2_monthly"
"S2_m09_re3","S2_monthly"
"S2_m09_red","S2_monthly"
"S2_m09_swir1","S2_monthly"
"S2_m09_swir2","S2_monthly"
"S2_m10_EVI","S2_monthly"
"S2_m10_MNDWI","S2_monthly"
"S2_m10_NBR","S2_monthly"
"S2_m10_NBR2","S2_monthly"
"S2_m10_NDMI","S2_monthly"
"S2_m10_NDRE","S2_monthly"
"S2_m10_NDVI","S2_monthly"
"S2_m10_NDWI","S2_monthly"
"S2_m10_blue","S2_monthly"
"S2_m10_green","S2_monthly"
"S2_m10_nir","S2_monthly"
"S2_m10_nir8a","S2_monthly"
"S2_m10_re1","S2_monthly"
"S2_m10_re2","S2_monthly"
"S2_m10_re3","S2_monthly"
"S2_m10_red","S2_monthly"
"S2_m10_swir1","S2_monthly"
"S2_m10_swir2","S2_monthly"
