"rank","feature"
1,"S2_NBR2_annual_mean"
2,"S2_m11_NDRE"
3,"S2_m09_re1"
4,"S1_DESC_VH_annual_max"
5,"S2_m12_NBR2"
6,"S1_m09_ASC_VV_minus_VH"
7,"S2_m05_blue"
8,"S2_m09_NBR"
9,"S2_nir_annual_mean"
10,"LST_summer_min_C"
11,"S2_m10_blue"
12,"S2_m08_re1"
13,"S2_re1_annual_amplitude"
14,"S1_DESC_VV_minus_VH_annual_amplitude"
15,"S2_NDMI_annual_amplitude"
16,"S1_m05_ASC_VV_minus_VH"
17,"S2_m06_EVI"
18,"S2_re2_annual_max"
19,"S2_m07_NBR"
20,"S2_m10_MNDWI"
21,"Soil_pH_30_100cm"
22,"S1_m01_ASC_VV"
23,"S2_m07_re1"
24,"S2_NBR_annual_mean"
25,"S2_m06_MNDWI"
26,"S2_NBR_annual_amplitude"
