system:index,JRC_dist_max_extent_m,JRC_max_extent,area_m2,cls_bin,cls_det,is_moor,poly_id,.geo
0000000000000000007f,5000.0,0.0,2517.0,Kein_Niedermoor,Agriculture,0,P0128,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000086,5000.0,0.0,2493.5,Kein_Niedermoor,Agriculture,0,P0135,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000089,5000.0,0.0,2481.9,Kein_Niedermoor,Agriculture,0,P0138,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008f,5000.0,0.0,2540.5,Kein_Niedermoor,Agriculture,0,P0144,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000092,5000.0,0.0,2528.7,Kein_Niedermoor,Agriculture,0,P0147,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000097,5000.0,0.0,2481.9,Kein_Niedermoor,Agriculture,0,P0152,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000098,5000.0,0.0,2522.9,Kein_Niedermoor,Agriculture,0,P0153,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009d,5000.0,0.0,2505.2,Kein_Niedermoor,Agriculture,0,P0158,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a2,5000.0,0.0,2505.3,Kein_Niedermoor,Agriculture,0,P0163,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a8,5000.0,0.0,2517.0,Kein_Niedermoor,Agriculture,0,P0169,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ad,5000.0,0.0,2528.5,Kein_Niedermoor,Agriculture,0,P0174,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000af,5000.0,0.0,2499.4,Kein_Niedermoor,Agriculture,0,P0176,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b4,5000.0,0.0,2505.2,Kein_Niedermoor,Agriculture,0,P0181,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b7,5000.0,0.0,2516.9,Kein_Niedermoor,Agriculture,0,P0184,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000bc,5000.0,0.0,2517.0,Kein_Niedermoor,Agriculture,0,P0189,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000bf,5000.0,0.0,2508.1,Kein_Niedermoor,Agriculture,0,P0192,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c1,5000.0,0.0,2490.6,Kein_Niedermoor,Agriculture,0,P0194,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c6,5000.0,0.0,2499.3,Kein_Niedermoor,Agriculture,0,P0199,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c9,5000.0,0.0,2506.0,Kein_Niedermoor,Agriculture,0,P0202,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d1,5000.0,0.0,2506.0,Kein_Niedermoor,Agriculture,0,P0210,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d3,5000.0,0.0,2499.3,Kein_Niedermoor,Agriculture,0,P0212,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000de,5000.0,0.0,2502.7,Kein_Niedermoor,Agriculture,0,P0223,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000df,5000.0,0.0,2531.4,Kein_Niedermoor,Agriculture,0,P0224,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f5,5000.0,0.0,2502.7,Kein_Niedermoor,Agriculture,0,P0246,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f6,5000.0,0.0,2512.6,Kein_Niedermoor,Agriculture,0,P0247,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081,5000.0,0.0,2505.3,Kein_Niedermoor,Barren,0,P0130,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009e,5000.0,0.0,2528.7,Kein_Niedermoor,Barren,0,P0159,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a3,5000.0,0.0,2493.5,Kein_Niedermoor,Barren,0,P0164,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c7,5000.0,0.0,2525.8,Kein_Niedermoor,Barren,0,P0200,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d0,5000.0,0.0,2512.6,Kein_Niedermoor,Barren,0,P0209,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d7,5000.0,0.0,2538.9,Kein_Niedermoor,Barren,0,P0216,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f8,5000.0,0.0,2502.7,Kein_Niedermoor,Barren,0,P0249,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000088,5000.0,0.0,2493.6,Kein_Niedermoor,Forest,0,P0137,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008a,5000.0,0.0,2505.3,Kein_Niedermoor,Forest,0,P0139,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000091,5000.0,0.0,2552.3,Kein_Niedermoor,Forest,0,P0146,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000094,5000.0,0.0,2505.3,Kein_Niedermoor,Forest,0,P0149,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000099,5000.0,0.0,2505.0,Kein_Niedermoor,Forest,0,P0154,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009c,5000.0,0.0,2517.0,Kein_Niedermoor,Forest,0,P0157,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a6,5000.0,0.0,2517.0,Kein_Niedermoor,Forest,0,P0167,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000aa,5000.0,0.0,2493.6,Kein_Niedermoor,Forest,0,P0171,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ab,5000.0,0.0,2528.7,Kein_Niedermoor,Forest,0,P0172,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ae,5000.0,0.0,2517.0,Kein_Niedermoor,Forest,0,P0175,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b2,5000.0,0.0,2505.2,Kein_Niedermoor,Forest,0,P0179,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b5,5000.0,0.0,2517.0,Kein_Niedermoor,Forest,0,P0182,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000bb,5000.0,0.0,2552.2,Kein_Niedermoor,Forest,0,P0188,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c0,5000.0,0.0,2517.0,Kein_Niedermoor,Forest,0,P0193,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c3,5000.0,0.0,2539.0,Kein_Niedermoor,Forest,0,P0196,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c8,5000.0,0.0,2512.6,Kein_Niedermoor,Forest,0,P0201,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000cb,5000.0,0.0,2434.1,Kein_Niedermoor,Forest,0,P0204,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000cf,5000.0,0.0,2578.9,Kein_Niedermoor,Forest,0,P0208,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d5,5000.0,0.0,2499.4,Kein_Niedermoor,Forest,0,P0214,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d8,5000.0,0.0,2512.2,Kein_Niedermoor,Forest,0,P0217,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d9,5000.0,0.0,2486.1,Kein_Niedermoor,Forest,0,P0218,"{""type"":""MultiPoint"",""coordinates"":[]}"
