"feature","permutation_importance"
"S2_NBR2_annual_mean",0.037855640694233
"S2_m06_EVI",0.0198370954018209
"S2_NBR_annual_mean",0.0179086477480882
"S2_m12_NBR2",0.0178159751433489
"S2_m07_NBR",0.0147845330671862
"S2_m05_blue",0.0140173187762623
"S1_m09_ASC_VV_minus_VH",0.0117208363909881
"S2_m09_re1",0.011110885520841
"S1_m01_ASC_VV",0.00939310072455701
"S1_DESC_VH_annual_max",0.00860103690809674
"S2_m09_NBR",0.00773812316293447
"S2_NDMI_annual_amplitude",0.00762643689842262
"S1_m05_ASC_VV_minus_VH",0.00674177356521583
"S2_m06_MNDWI",0.00526530671753177
"S2_m08_re1",0.00512263123234089
"S2_m11_NDRE",0.00480304432504447
"S2_nir_annual_mean",0.00472034201900919
"S2_NBR_annual_amplitude",0.00417407877545441
"S2_m07_re1",0.0039929551374209
"S2_re2_annual_max",0.00397936002102773
"S2_m10_MNDWI",0.00349750111903616
"Soil_pH_30_100cm",0.00262160190250703
"S2_re1_annual_amplitude",0.00216122198706153
"S2_m10_blue",0.00170325665118928
"S1_DESC_VV_minus_VH_annual_amplitude",0.00115133405030343
"LST_summer_min_C",0.00106001142813947
