"outer_test_fold","step","added_feature","n_features","precision","recall","f1","roc_auc","pr_auc"
1,1,"S2_m11_NDRE",1,0.657142857142857,0.479166666666667,0.55421686746988,0.716585497835498,0.650223105793035
1,2,"S2_m10_blue",2,0.670212765957447,0.65625,0.663157894736842,0.798193993506493,0.734386925536986
1,3,"S2_m08_re1",3,0.691489361702128,0.677083333333333,0.684210526315789,0.831304112554113,0.750017585472254
1,4,"S2_NDMI_annual_amplitude",4,0.714285714285714,0.677083333333333,0.695187165775401,0.844967532467532,0.771610316539832
1,5,"S2_m05_blue",5,0.761904761904762,0.666666666666667,0.711111111111111,0.865936147186147,0.80094399457248
1,6,"S2_m10_MNDWI",6,0.755813953488372,0.677083333333333,0.714285714285714,0.87594696969697,0.814669998232542
1,7,"S1_m01_ASC_VV",7,0.752688172043011,0.729166666666667,0.740740740740741,0.893127705627706,0.84143788625353
2,1,"S2_NBR2_annual_mean",1,0.6,0.626373626373626,0.612903225806452,0.793181177796562,0.651062270125258
2,2,"S2_m09_re1",2,0.746835443037975,0.648351648351648,0.694117647058824,0.851577909270217,0.776581923659137
2,3,"S2_re1_annual_amplitude",3,0.708860759493671,0.615384615384615,0.658823529411765,0.858939137785292,0.803034582592404
2,4,"S1_DESC_VV_minus_VH_annual_amplitude",4,0.753086419753086,0.67032967032967,0.709302325581395,0.871935756551141,0.840012521707682
3,1,"S2_nir_annual_mean",1,0.597826086956522,0.528846153846154,0.561224489795918,0.688542227003765,0.657755735709431
3,2,"S2_m09_re1",2,0.660194174757282,0.653846153846154,0.657004830917874,0.764254975793437,0.713276682889427
3,3,"S1_DESC_VH_annual_max",3,0.747252747252747,0.653846153846154,0.697435897435898,0.842993544916622,0.794662489065442
3,4,"S2_m12_NBR2",4,0.788888888888889,0.682692307692308,0.731958762886598,0.872175901022055,0.839325668698042
3,5,"S2_m06_EVI",5,0.789473684210526,0.721153846153846,0.753768844221105,0.879168908015062,0.86631726134551
3,6,"S1_m09_ASC_VV_minus_VH",6,0.787878787878788,0.75,0.768472906403941,0.886363636363636,0.875439398480381
3,7,"S2_m07_re1",7,0.783505154639175,0.730769230769231,0.756218905472637,0.895172135556751,0.885693857137123
3,8,"S2_NBR_annual_amplitude",8,0.804123711340206,0.75,0.776119402985075,0.8963152232383,0.8888838100324
4,1,"S2_m09_NBR",1,0.598039215686274,0.592233009708738,0.595121951219512,0.714675130694548,0.664061822397455
4,2,"LST_summer_min_C",2,0.673469387755102,0.640776699029126,0.656716417910448,0.791486183719193,0.761313446766251
4,3,"S2_m12_NBR2",3,0.737864077669903,0.737864077669903,0.737864077669903,0.848095593726662,0.807294204133586
4,4,"S1_DESC_VH_annual_max",4,0.752577319587629,0.70873786407767,0.73,0.85765496639283,0.833731817700532
4,5,"S2_re2_annual_max",5,0.763440860215054,0.689320388349515,0.724489795918367,0.856235997012696,0.846038528847191
4,6,"Soil_pH_30_100cm",6,0.75,0.699029126213592,0.723618090452261,0.877744585511576,0.864832694801366
5,1,"S2_NBR2_annual_mean",1,0.627272727272727,0.650943396226415,0.638888888888889,0.797539770625231,0.678688618030776
5,2,"S2_m11_NDRE",2,0.697247706422018,0.716981132075472,0.706976744186047,0.835984708348748,0.747951603083689
5,3,"S1_m09_ASC_VV_minus_VH",3,0.722222222222222,0.735849056603774,0.728971962616822,0.848994943889505,0.784383526023192
5,4,"S2_m05_blue",4,0.732142857142857,0.773584905660377,0.752293577981651,0.863700826242447,0.811753698463881
5,5,"S1_m05_ASC_VV_minus_VH",5,0.754545454545455,0.783018867924528,0.768518518518519,0.884141077814774,0.835878463321377
5,6,"S2_m07_NBR",6,0.75,0.735849056603774,0.742857142857143,0.892156862745098,0.860566187318398
5,7,"S2_NBR_annual_mean",7,0.747663551401869,0.754716981132076,0.751173708920188,0.896411394746578,0.869722954535635
5,8,"S2_m06_MNDWI",8,0.783018867924528,0.783018867924528,0.783018867924528,0.907078554692317,0.879020320512912
