"outer_test_fold","rank","feature"
1,1,"S2_m11_NDRE"
1,2,"S2_m10_blue"
1,3,"S2_m08_re1"
1,4,"S2_NDMI_annual_amplitude"
1,5,"S2_m05_blue"
1,6,"S2_m10_MNDWI"
1,7,"S1_m01_ASC_VV"
2,1,"S2_NBR2_annual_mean"
2,2,"S2_m09_re1"
2,3,"S2_re1_annual_amplitude"
2,4,"S1_DESC_VV_minus_VH_annual_amplitude"
3,1,"S2_nir_annual_mean"
3,2,"S2_m09_re1"
3,3,"S1_DESC_VH_annual_max"
3,4,"S2_m12_NBR2"
3,5,"S2_m06_EVI"
3,6,"S1_m09_ASC_VV_minus_VH"
3,7,"S2_m07_re1"
3,8,"S2_NBR_annual_amplitude"
4,1,"S2_m09_NBR"
4,2,"LST_summer_min_C"
4,3,"S2_m12_NBR2"
4,4,"S1_DESC_VH_annual_max"
4,5,"S2_re2_annual_max"
4,6,"Soil_pH_30_100cm"
5,1,"S2_NBR2_annual_mean"
5,2,"S2_m11_NDRE"
5,3,"S1_m09_ASC_VV_minus_VH"
5,4,"S2_m05_blue"
5,5,"S1_m05_ASC_VV_minus_VH"
5,6,"S2_m07_NBR"
5,7,"S2_NBR_annual_mean"
5,8,"S2_m06_MNDWI"
